Academic_Year,Institution_Type_EN,Campus_Zone_EN,LocalFlag_EN,Gender_EN,Bachelors,Certificate,Diploma,Doctorate,Graduate Diploma,Higher Diploma,Masters, Total
2016,Federal,Sharjah,Local,Male,74,19,8,8,80,40,57, 286 
2016,Federal,Abu Dhabi,Expat,Male,211,19,55,8,80,40,1, 414 
2016,Federal,Abu Dhabi,Local,Male,424,6,55,8,80,40,2, 615 
2016,Non-Federal,Abu Dhabi,Expat,Female,682,51,289,4,927,50,185," 2,188 "
2016,Non-Federal,Abu Dhabi,Expat,Male,513,11,92,9,47,6,188, 866 
2016,Non-Federal,Abu Dhabi,Local,Female,693,23,222,2,30,34,340," 1,344 "
2016,Non-Federal,Abu Dhabi,Local,Male,"1,169",10,404,5,19,83,258," 1,948 "
2016,Non-Federal,Ajman,Expat,Female,692,19,19,8,12,40,36, 826 
2016,Non-Federal,Ajman,Expat,Male,581,19,7,8,80,40,18, 753 
2016,Non-Federal,Ajman,Local,Female,212,19,55,8,80,40,11, 425 
2016,Non-Federal,Ajman,Local,Male,269,6,55,8,1,40,21, 400 
2016,Non-Federal,Dubai,Expat,Female,"1,396",10,39,4,18,56,450," 1,973 "
2016,Non-Federal,Dubai,Expat,Male,855,31,122,1,80,91,593," 1,773 "
2016,Non-Federal,Dubai,Local,Female,414,1,8,12,80,18,376, 909 
2016,Non-Federal,Dubai,Local,Male,"1,981",1,33,8,80,13,424," 2,540 "
2016,Non-Federal,Fujairah,Expat,Female,95,6,55,8,67,40,132, 403 
2016,Non-Federal,Fujairah,Expat,Male,47,19,55,8,80,40,57, 306 
2016,Non-Federal,Fujairah,Local,Female,119,19,14,8,18,40,132, 350 
2016,Non-Federal,Fujairah,Local,Male,86,19,14,8,18,40,132, 317 
2016,Non-Federal,Ras Al Khaimah,Expat,Female,152,19,55,8,80,40,17, 371 
2016,Non-Federal,Ras Al Khaimah,Expat,Male,69,6,14,8,80,40,4, 221 
2016,Non-Federal,Ras Al Khaimah,Local,Female,44,6,55,8,80,40,21, 254 
2016,Non-Federal,Ras Al Khaimah,Local,Male,6,19,55,8,18,40,1, 147 
2016,Non-Federal,Sharjah,Expat,Female,830,19,8,8,80,4,37, 986 
2016,Non-Federal,Sharjah,Expat,Male,593,19,14,3,80,40,45, 794 
2016,Non-Federal,Sharjah,Local,Female,784,6,146,3,80,40,122," 1,181 "
2016,Non-Federal,Sharjah,Local,Male,255,19,89,9,80,40,126, 618 
2016,Non-Federal,Umm Al Quwain,Expat,Female,2,19,55,8,18,40,132, 274 
2016,Non-Federal,Umm Al Quwain,Expat,Male,5,19,55,8,18,40,57, 202 
2016,Non-Federal,Umm Al Quwain,Local,Female,5,19,55,8,80,40,57, 264 
2016,Non-Federal,Umm Al Quwain,Local,Male,7,6,55,8,80,40,132, 328 
2017,Federal,Abu Dhabi,Expat,Female,402,6,5,5,80,40,68, 606 
2017,Federal,Abu Dhabi,Expat,Male,227,19,1,3,80,40,46, 416 
2017,Federal,Abu Dhabi,Local,Female,"2,490",1,177,9,18,4,146," 2,845 "
2017,Federal,Abu Dhabi,Local,Male,944,3,33,5,18,6,65," 1,074 "
2017,Federal,Dubai,Expat,Female,25,19,1,8,18,40,2, 113 
2017,Federal,Dubai,Expat,Male,10,19,55,8,80,40,1, 213 
2017,Federal,Dubai,Local,Female,994,19,27,8,80,40,7," 1,175 "
2017,Federal,Dubai,Local,Male,446,19,5,8,80,1,132, 691 
2017,Federal,Fujairah,Expat,Female,1,19,1,8,18,40,57, 144 
2017,Federal,Fujairah,Local,Female,306,19,39,8,18,1,57, 448 
2017,Federal,Fujairah,Local,Male,47,6,8,8,80,40,132, 321 
2017,Federal,Ras Al Khaimah,Expat,Female,8,6,55,8,80,40,132, 329 
2017,Federal,Ras Al Khaimah,Expat,Male,2,6,14,8,80,40,132, 282 
2017,Federal,Ras Al Khaimah,Local,Female,264,6,41,8,80,40,4, 443 
2017,Federal,Ras Al Khaimah,Local,Male,97,6,14,8,80,40,57, 302 
2017,Federal,Sharjah,Expat,Female,15,19,2,8,18,40,57, 159 
2017,Federal,Sharjah,Expat,Male,9,19,55,8,18,40,132, 281 
2017,Federal,Sharjah,Local,Female,388,19,44,8,80,40,132, 711 
2017,Federal,Sharjah,Local,Male,197,6,14,8,80,40,132, 477 
2017,Non-Federal,Abu Dhabi,Expat,Female,751,19,117,11,161,27,166," 1,252 "
2017,Non-Federal,Abu Dhabi,Expat,Male,523,19,91,22,12,1,278, 946 
2017,Non-Federal,Abu Dhabi,Local,Female,855,2,152,10,80,51,393," 1,543 "
2017,Non-Federal,Abu Dhabi,Local,Male,"1,426",3,232,5,80,65,357," 2,168 "
2017,Non-Federal,Ajman,Expat,Female,738,19,5,8,7,40,20, 837 
2017,Non-Federal,Ajman,Expat,Male,619,19,1,8,18,40,27, 732 
2017,Non-Federal,Ajman,Local,Female,226,19,4,8,1,40,25, 323 
2017,Non-Federal,Ajman,Local,Male,299,19,55,8,18,40,33, 472 
2017,Non-Federal,Dubai,Expat,Female,"1,492",10,50,4,18,21,393," 1,988 "
2017,Non-Federal,Dubai,Expat,Male,914,14,147,5,18,83,541," 1,722 "
2017,Non-Federal,Dubai,Local,Female,376,1,19,14,80,4,319, 813 
2017,Non-Federal,Dubai,Local,Male,"1,362",1,19,7,80,14,427," 1,910 "
2017,Non-Federal,Fujairah,Expat,Female,119,6,55,8,80,40,132, 440 
2017,Non-Federal,Fujairah,Expat,Male,50,6,55,8,80,40,57, 296 
2017,Non-Federal,Fujairah,Local,Female,125,6,55,8,18,40,57, 309 
2017,Non-Federal,Fujairah,Local,Male,104,6,55,8,18,40,132, 363 
2017,Non-Federal,Ras Al Khaimah,Expat,Female,192,19,55,8,80,40,8, 402 
2017,Non-Federal,Ras Al Khaimah,Expat,Male,93,19,55,8,80,40,13, 308 
2017,Non-Federal,Ras Al Khaimah,Local,Female,60,19,55,8,80,40,46, 308 
2017,Non-Federal,Ras Al Khaimah,Local,Male,7,19,55,8,80,40,15, 224 
2017,Non-Federal,Sharjah,Expat,Female,"1,554",19,21,1,5,4,130," 1,734 "
2017,Non-Federal,Sharjah,Expat,Male,991,19,9,7,18,1,110," 1,155 "
2017,Non-Federal,Sharjah,Local,Female,740,19,78,1,1,1,156, 996 
2017,Non-Federal,Sharjah,Local,Male,288,19,52,10,18,40,112, 539 
2017,Non-Federal,Umm Al Quwain,Expat,Female,8,6,55,8,80,40,132, 329 
2017,Non-Federal,Umm Al Quwain,Expat,Male,1,6,55,8,80,40,57, 247 
2017,Non-Federal,Umm Al Quwain,Local,Female,8,6,55,8,80,40,132, 329 
2017,Non-Federal,Umm Al Quwain,Local,Male,3,19,55,8,18,40,132, 275 
2018,Federal,Abu Dhabi,Expat,Female,434,19,4,6,18,40,68, 589 
2018,Federal,Abu Dhabi,Expat,Male,228,19,2,3,18,40,50, 360 
2018,Federal,Abu Dhabi,Local,Female,"2,682",175,58,10,18,40,132," 3,115 "
2018,Federal,Abu Dhabi,Local,Male,987,13,15,6,80,40,52," 1,193 "
2018,Federal,Dubai,Expat,Female,36,19,1,8,80,40,1, 185 
2018,Federal,Dubai,Expat,Male,23,19,55,8,80,40,2, 227 
2018,Federal,Dubai,Local,Female,"1,073",1,17,8,18,40,5," 1,162 "
2018,Federal,Dubai,Local,Male,455,19,3,8,18,40,1, 544 
2018,Federal,Fujairah,Expat,Female,5,19,1,8,80,40,132, 285 
2018,Federal,Fujairah,Expat,Male,4,19,55,8,80,40,57, 263 
2018,Federal,Fujairah,Local,Female,260,19,8,8,80,40,57, 472 
2018,Federal,Fujairah,Local,Male,64,6,2,8,18,40,132, 270 
2018,Federal,Abu Dhabi,Local,Female,424,49,55,8,18,40,132, 726 
2018,Federal,Ras Al Khaimah,Expat,Female,13,6,1,8,80,40,132, 280 
2018,Federal,Ras Al Khaimah,Expat,Male,6,6,55,8,80,40,57, 252 
2018,Federal,Ras Al Khaimah,Local,Female,304,2,7,8,80,40,57, 498 
2018,Federal,Ras Al Khaimah,Local,Male,114,19,1,8,80,40,57, 319 
2018,Federal,Sharjah,Expat,Female,53,19,1,8,80,40,132, 333 
2018,Federal,Sharjah,Expat,Male,15,19,55,8,80,40,132, 349 
2018,Federal,Sharjah,Local,Female,471,1,7,8,80,40,132, 739 
2018,Federal,Sharjah,Local,Male,173,19,5,8,80,40,132, 457 
2018,Non-Federal,Abu Dhabi,Expat,Female,990,7,93,3,491,190,141," 1,915 "
2018,Non-Federal,Abu Dhabi,Expat,Male,665,19,61,9,53,29,174," 1,010 "
2018,Non-Federal,Abu Dhabi,Local,Female,990,183,100,7,80,30,325," 1,715 "
2018,Non-Federal,Abu Dhabi,Local,Male,"1,437",27,125,6,80,14,272," 1,961 "
2018,Non-Federal,Ajman,Expat,Female,767,19,2,8,29,40,23, 888 
2018,Non-Federal,Ajman,Expat,Male,548,6,55,8,13,40,34, 704 
2018,Non-Federal,Ajman,Local,Female,214,6,2,8,80,40,30, 380 
2018,Non-Federal,Ajman,Local,Male,160,19,55,8,80,40,60, 422 
2018,Non-Federal,Dubai,Expat,Female,"1,512",15,50,12,1,3,414," 2,007 "
2018,Non-Federal,Dubai,Expat,Male,"1,030",71,88,7,3,6,469," 1,674 "
2018,Non-Federal,Dubai,Local,Female,341,3,14,17,80,13,343, 811 
2018,Non-Federal,Dubai,Local,Male,785,3,31,5,2,6,526," 1,358 "
2018,Non-Federal,Fujairah,Expat,Female,115,19,55,8,80,40,132, 449 
2018,Non-Federal,Fujairah,Expat,Male,63,19,1,8,80,40,57, 268 
2018,Non-Federal,Fujairah,Local,Female,122,6,1,8,80,40,24, 281 
2018,Non-Federal,Fujairah,Local,Male,89,6,2,8,80,40,8, 233 
2018,Non-Federal,Abu Dhabi,Expat,Female,27,6,5,8,80,40,132, 298 
2018,Non-Federal,Abu Dhabi,Expat,Male,211,47,8,8,80,40,132, 526 
2018,Non-Federal,Abu Dhabi,Local,Female,5,19,9,8,80,40,132, 293 
2018,Non-Federal,Abu Dhabi,Local,Male,211,25,22,8,80,40,57, 443 
2018,Non-Federal,Ras Al Khaimah,Expat,Female,371,19,55,8,80,40,12, 585 
2018,Non-Federal,Ras Al Khaimah,Expat,Male,184,19,55,8,80,40,13, 399 
2018,Non-Federal,Ras Al Khaimah,Local,Female,107,6,55,8,80,40,48, 344 
2018,Non-Federal,Ras Al Khaimah,Local,Male,11,6,55,8,80,40,10, 210 
2018,Non-Federal,Sharjah,Expat,Female,"1,570",6,48,8,8,40,110," 1,790 "
2018,Non-Federal,Sharjah,Expat,Male,"1,127",16,49,10,7,40,107," 1,356 "
2018,Non-Federal,Sharjah,Local,Female,750,19,13,3,51,40,163," 1,039 "
2018,Non-Federal,Sharjah,Local,Male,225,21,8,14,74,40,99, 481 
2018,Non-Federal,Umm Al Quwain,Expat,Female,26,19,55,8,80,40,57, 285 
2018,Non-Federal,Umm Al Quwain,Expat,Male,25,19,55,8,80,40,132, 359 
2018,Non-Federal,Umm Al Quwain,Local,Female,13,19,55,8,80,40,132, 347 
2018,Non-Federal,Umm Al Quwain,Local,Male,36,3,55,8,80,40,132, 354 
2019,Federal,Abu Dhabi,Expat,Female,342,19,3,9,80,40,82, 575 
2019,Federal,Abu Dhabi,Expat,Male,128,19,55,4,80,40,63, 389 
2019,Federal,Abu Dhabi,Local,Female,"2,992",6,7,13,80,40,192," 3,330 "
2019,Federal,Abu Dhabi,Local,Male,896,6,5,10,80,40,95," 1,132 "
2019,Federal,Dubai,Expat,Female,31,19,55,8,80,40,132, 365 
2019,Federal,Dubai,Expat,Male,6,19,55,8,80,40,132, 340 
